Geography,Category,Brand Name,Company Name (GBO),Data Type,Unit,2019,2020,2021,2022,2023
Asia Pacific,Mobile Phones,Oppo (BBK Electronics Corp Ltd),BBK Electronics Corp Ltd,Retail Volume,000 units,"95,449.3","89,702.1","108,010.4","86,135.3","72,384.6"
Asia Pacific,Mobile Phones,Honor (Shenzhen Zhixin New Information Technology Co Ltd),Shenzhen Zhixin New Information Technology Co Ltd,Retail Volume,000 units,-,-,"35,947.5","48,992.0","44,415.9"
Asia Pacific,Mobile Phones,Huawei (Huawei Technologies Co Ltd),Huawei Technologies Co Ltd,Retail Volume,000 units,"153,921.2","133,663.0","39,773.4","28,381.9","36,452.2"
Asia Pacific,Mobile Phones,Realme (BBK Electronics Corp Ltd),BBK Electronics Corp Ltd,Retail Volume,000 units,"18,747.4","31,243.5","45,246.7","38,755.5","32,910.7"
Asia Pacific,Mobile Phones,Itel (Transsion Holdings),Transsion Holdings,Retail Volume,000 units,"16,385.2","21,750.7","21,988.2","20,465.0","21,481.4"
Asia Pacific,Mobile Phones,Lava (Lava International Ltd),Lava International Ltd,Retail Volume,000 units,"13,918.0","14,455.0","14,899.8","15,060.8","16,156.6"
Asia Pacific,Mobile Phones,Infinix (Transsion Holdings),Transsion Holdings,Retail Volume,000 units,54.7,"1,017.6","5,570.5","8,091.1","11,241.9"
Asia Pacific,Mobile Phones,OnePlus (BBK Electronics Corp Ltd),BBK Electronics Corp Ltd,Retail Volume,000 units,"1,430.1","2,931.3","4,567.1","5,313.3","9,887.4"
Asia Pacific,Mobile Phones,Nokia (Nokia Corp),Nokia Corp,Retail Volume,000 units,"10,754.1","10,952.1","9,883.0","9,020.2","8,512.0"
Asia Pacific,Mobile Phones,JioPhone (Reliance Jio infocomm Ltd),Reliance Jio infocomm Ltd,Retail Volume,000 units,"37,435.9","20,653.0","9,595.8","6,680.7","6,594.5"
Asia Pacific,Mobile Phones,Tecno (Transsion Holdings),Transsion Holdings,Retail Volume,000 units,-,319.3,"4,203.5","4,768.0","5,500.6"
Asia Pacific,Mobile Phones,Micromax (Micromax Informatics Ltd),Micromax Informatics Ltd,Retail Volume,000 units,"7,470.2","5,993.6","4,764.8","4,387.2","4,441.7"
Asia Pacific,Mobile Phones,Google Pixel (Alphabet Inc),Alphabet Inc,Retail Volume,000 units,224.6,249.0,289.0,510.0,"2,844.2"
Asia Pacific,Mobile Phones,Sharp (Hon Hai Precision Industry Co Ltd),Hon Hai Precision Industry Co Ltd,Retail Volume,000 units,"3,574.4","3,449.3","3,583.9","3,275.7","2,653.3"
