Geography,Category,Brand Name,Company Name (GBO),Data Type,Unit,2019,2020,2021,2022,2023
"Hong Kong, China",Non-Grocery Retailers,Total,Total,Retail Value RSP excl Sales Tax,HKD million,331431.6,219267,248036.1,271357.7,319657.3
"Hong Kong, China",Appliances and Electronics Specialists,Others,Others,Retail Value RSP excl Sales Tax,HKD million,20111.2,14421.2,22025.6,22792.1,20685.6
"Hong Kong, China",Appliances and Electronics Specialists,Total,Total,Retail Value RSP excl Sales Tax,HKD million,36914,32140.5,38264.8,39068.4,36099.2
"Hong Kong, China",Retail E-Commerce,Others,Others,Retail Value RSP excl Sales Tax,HKD million,32930.3,46309.4,55022.8,66147.5,63386.5
"Hong Kong, China",Retail E-Commerce,Total,Total,Retail Value RSP excl Sales Tax,HKD million,45770.3,63711,73680.6,87680,84961.9
India,Mobile Phones,Samsung (Samsung Corp),Samsung Corp,Retail Volume,000 units,47709.1,48268,44431.3,40337.7,36910.3
India,Mobile Phones,Vivo (BBK Electronics Corp Ltd),BBK Electronics Corp Ltd,Retail Volume,000 units,20457.1,23094,25392.6,25413.4,26072.8
India,Mobile Phones,Xiaomi (Xiaomi Corp),Xiaomi Corp,Retail Volume,000 units,48506.5,48749.1,43009.1,31866.9,25526.9
India,Mobile Phones,Itel (Transsion Holdings),Transsion Holdings,Retail Volume,000 units,16385.3,21230.8,21268.1,19631.8,20308.2
India,Mobile Phones,Realme (BBK Electronics Corp Ltd),BBK Electronics Corp Ltd,Retail Volume,000 units,12907.6,15862.1,22576.6,21355.3,17883.6
India,Mobile Phones,Lava (Lava International Ltd),Lava International Ltd,Retail Volume,000 units,13918,14455,14899.8,15060.8,16156.6
India,Mobile Phones,Oppo (BBK Electronics Corp Ltd),BBK Electronics Corp Ltd,Retail Volume,000 units,11177,11288.8,15104.4,16613.1,15788.3
India,Mobile Phones,iPhone (Apple Inc),Apple Inc,Retail Volume,000 units,5651.9,5106.5,5120.1,6041.1,6876
